FPC,CIPC,OLPC,TARPC,Adj_TOTAL_PROG_FUND,Adj_TOTAL_PROG_FUND_PP,ASSED_VAL,ASSED_VAL_PP,CoL,CoL_PP,OVERRIDE_REV,OVERRIDE_REV_PP,STATE_SHARE,MILL_PERCENT_TP,OVERRIDE_MILL,OVERRIDE_PERCENT_TP,COMPOSITE_PERCENT_DIFF,COMPOSITE_DIFF,BETTER
24667.2,0,751,2416.5,190134777.6,7708,1587309653,64349.00001,12423635.28,503.65,23767562.38,963.5289932,75,0.834833939,16.851,12.5,0.277520814,3,1
1032.4,0,0,450.5,8783659.2,8508,32145838.8,31137,177376.644,171.81,0,0,89,0.365973202,0,0,0.107411386,1,1
624.8,0,31,112.2,5514484.8,8826,43248031.2,69219,272350.32,435.9,167642.2592,268.313475,78,0.784262407,4.35,3.04,1.715438951,17,1
6464,0,0,518.8,49895616,7719,513571264,79451,2978675.84,460.81,3542611.882,548.0525808,73,1.029291359,7.789,7.1,0.718132855,8,1
23664.1,0,7111.5,5941.5,183302118.6,7746,882954899.2,37312,3075859.718,129.98,14224363.55,601.0946349,87,0.481693777,18.5,7.76,7.683863886,70,1
3649.3,0,0,1633,28161648.1,7717,240065551.2,65784,0,0,1244669.923,341.0708692,73,0.852455617,5.769,4.42,2.255639098,21,1
1336.3,0,0,611,10783941,8070,142480314.9,106623,46596.781,34.87,319215.1912,238.8798857,76,1.321226766,2.476,2.96,3.433001107,31,1
5524.1,609.2,0,1801.8,46308530.3,8383,1071238996,193921,831653.255,150.55,7224364.056,1307.790238,46,2.313264941,8.215,15.6,0.496031746,5,1
4740.8,0,0,1661.2,37153649.6,7837,780454200,164625,53997.712,11.39,7697845.086,1623.743901,89,2.100612479,11.788,20.72,0.735294118,7,1
1163.4,0,0,479.9,9944743.2,8548,693857577,596405,0,0,1733370.448,1489.917868,83,6.977129153,3.123,17.43,0.653594771,6,1
1285.3,17.2,0,337.7,10521465.8,8186,553019604.5,430265,680000.818,529.06,1914984.89,1489.912775,33,5.256107989,3.823,18.2,-0.859598854,-9,0
1987.7,0,0,394.8,15979120.3,8039,545713096.5,274545,271619.205,136.65,1172856.471,590.0570866,43,3.415163578,2.382,7.34,-2.233009709,-23,0
80657.2,637.5,269,20149.2,639853567.6,7933,9445845349,117111,14199700.06,176.05,132067744.5,1637.395601,58,1.476251103,15.488,20.64,-0.477099237,-5,0
720.2,0,0,397.4,6066964.8,8424,101861487,141435,191861.28,266.4,334879.08,464.980672,55,1.678952991,3.515,5.52,8.343265793,70,1
978,0,0,403,8313978,8501,196510518,200931,127580.1,130.45,609403.2992,623.1117579,41,2.363616045,3.398,7.33,3.020496224,28,1
5173.3,498,713,1339.4,41215681.1,7967,1348927628,260747.9999,0,0,9499998.953,1836.351836,75,3.272850507,8.636,23.05,0.968992248,10,1
1358.6,0,11.5,304.8,11421750.2,8407,225350982,165870,0,0,1700693.661,1251.798661,82,1.972998692,8.586,14.89,-4.166666667,-43,0
835.8,0,27,439.1,7680166.2,9189,280089117,335115,0,0,877045.151,1049.348111,91,3.646914789,3.927,11.42,-4.307334109,-37,0
28801,1668.5,217.5,7468.7,222170914,7714,3284005224,114024,5532096.08,192.08,36858179.68,1279.75347,57,1.478143635,13.097,16.59,-0.73800738,-8,0
15194.5,0,5.5,4546.5,117240762,7716,2002346405,131781,3311033.495,217.91,24655827.51,1622.681069,59,1.707892691,14.916,21.03,0.099800399,1,1
1064.3,0,0,263.7,9014621,8470,386721919.4,363358,487183.325,457.75,2697295.181,2534.337293,4,4.289940968,7.643,29.92,3.578528827,36,1
1025.3,0,0,590.4,8833984.8,8616,118363707.9,115443,0,0,0,0,80,1.339867688,0,0,-1.072961373,-10,0
